23960000,23969999,10000,Voxbone SA/NV,TILDELT,Fastnettnummer
23970000,23985999,16000,Telenor Norge AS,TILDELT,Fastnettnummer
23986000,23986999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
23987000,23989999,3000,Telenor Norge AS,TILDELT,Fastnettnummer
23990000,23999999,10000,Telia Norge AS,TILDELT,Fastnettnummer
24000000,24021999,22000,Telenor Norge AS,TILDELT,Fastnettnummer
24022000,24022999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
24023000,24075999,53000,Telenor Norge AS,TILDELT,Fastnettnummer
24076000,24076999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
24077000,24077999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
24078000,24089999,12000,Telenor Norge AS,TILDELT,Fastnettnummer
24090000,24090999,1000, ,LEDIG,Fastnettnummer
24091000,24178999,88000,Telenor Norge AS,TILDELT,Fastnettnummer
24179000,24179999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
24180000,24199999,20000,Telenor Norge AS,TILDELT,Fastnettnummer
24200000,24201999,2000,GlobalConnect AS,TILDELT,Fastnettnummer
24202000,24699999,498000, ,LEDIG,Fastnettnummer
24700000,24700999,1000,Telia Norge AS,TILDELT,Fastnettnummer
24701000,24999999,299000, ,LEDIG,Fastnettnummer
25000000,25999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
26000000,26999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
27000000,27999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
28000000,29999999,2000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
30000000,30999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
31000000,31019999,20000,Telia Norge AS,TILDELT,Fastnettnummer
31020000,31024999,5000,Telia Norge AS,TILDELT,Fastnettnummer
31025000,31027999,3000,Altibox AS,TILDELT,Fastnettnummer
31028000,31029999,2000,Telia Norge AS,TILDELT,Fastnettnummer
31030000,31030999,1000, ,LEDIG,Fastnettnummer
31031000,31031999,1000,Puzzel AS,TILDELT,Fastnettnummer
