03,Oslo
11,Rogaland
15,Møre og Romsdal
18,Nordland
21,Svalbard
22,Jan Mayen
30,Viken
34,Innlandet
38,Vestfold og Telemark
42,Agder
46,Vestland
50,Trøndelag
54,Troms og Finnmark
