DJ,OSLO,OSLO,GEOGRAFISK
DK,OSLO,OSLO,GEOGRAFISK
DL,OSLO,OSLO,GEOGRAFISK
DN,OSLO,OSLO,GEOGRAFISK
DP,OSLO,OSLO,GEOGRAFISK
DR,OSLO,OSLO,GEOGRAFISK
DS,OSLO,OSLO,GEOGRAFISK
DT,OSLO,OSLO,GEOGRAFISK
DU,OSLO,OSLO,GEOGRAFISK
DV,OSLO,OSLO,GEOGRAFISK
DX,OSLO,OSLO,GEOGRAFISK
DY,OSLO,OSLO,GEOGRAFISK
DZ,OSLO,OSLO,GEOGRAFISK
EA,OSLO,OSLO,GEOGRAFISK
EF,OSLO,OSLO,GEOGRAFISK
EH,OSLO,OSLO,GEOGRAFISK
EJ,OSLO,OSLO,GEOGRAFISK
EN,OSLO,OSLO,GEOGRAFISK
EP,OSLO,OSLO,GEOGRAFISK
ER,OSLO,OSLO,GEOGRAFISK
EU,OSLO,OSLO,GEOGRAFISK
HB,ELVERUM,INNLANDET,GEOGRAFISK
HC,ELVERUM,INNLANDET,GEOGRAFISK
HD,ELVERUM,INNLANDET,GEOGRAFISK
HE,ELVERUM,INNLANDET,GEOGRAFISK
HA,ELVERUM,INNLANDET,GEOGRAFISK
FZ,ELVERUM,INNLANDET,GEOGRAFISK
JR,FAGERNES,INNLANDET,GEOGRAFISK
JS,FAGERNES,INNLANDET,GEOGRAFISK
JT,FAGERNES,INNLANDET,GEOGRAFISK
JC,GJØVIK,INNLANDET,GEOGRAFISK
JD,GJØVIK,INNLANDET,GEOGRAFISK
JE,GJØVIK,INNLANDET,GEOGRAFISK
JF,GJØVIK,INNLANDET,GEOGRAFISK
JH,GJØVIK,INNLANDET,GEOGRAFISK
JJ,GJØVIK,INNLANDET,GEOGRAFISK
JK,GJØVIK,INNLANDET,GEOGRAFISK
JL,GJØVIK,INNLANDET,GEOGRAFISK
JN,GJØVIK,INNLANDET,GEOGRAFISK
JP,GJØVIK,INNLANDET,GEOGRAFISK
FS,HAMAR,INNLANDET,GEOGRAFISK
FT,HAMAR,INNLANDET,GEOGRAFISK
FU,HAMAR,INNLANDET,GEOGRAFISK
FV,HAMAR,INNLANDET,GEOGRAFISK
FX,HAMAR,INNLANDET,GEOGRAFISK
FY,HAMAR,INNLANDET,GEOGRAFISK
FZ,HAMAR,INNLANDET,GEOGRAFISK
FW,HAMAR,INNLANDET,GEOGRAFISK
ET,HAMAR,INNLANDET,GEOGRAFISK
HJ,KONGSVINGER,INNLANDET,GEOGRAFISK
HK,KONGSVINGER,INNLANDET,GEOGRAFISK
HL,KONGSVINGER,INNLANDET,GEOGRAFISK
HN,KONGSVINGER,INNLANDET,GEOGRAFISK
HP,KONGSVINGER,INNLANDET,GEOGRAFISK
HR,KONGSVINGER,INNLANDET,GEOGRAFISK
HS,LILLEHAMMER,INNLANDET,GEOGRAFISK
HT,LILLEHAMMER,INNLANDET,GEOGRAFISK
HU,LILLEHAMMER,INNLANDET,GEOGRAFISK
HV,LILLEHAMMER,INNLANDET,GEOGRAFISK
HX,LILLEHAMMER,INNLANDET,GEOGRAFISK
FB,LILLEHAMMER,INNLANDET,GEOGRAFISK
HZ,OTTA,INNLANDET,GEOGRAFISK
JA,OTTA,INNLANDET,GEOGRAFISK
JB,OTTA,INNLANDET,GEOGRAFISK
HF,TYNSET,INNLANDET,GEOGRAFISK
HH,TYNSET,INNLANDET,GEOGRAFISK
KZ,HORTEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LA,HORTEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LB,HORTEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LC,HORTEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LD,HORTEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LS,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
LT,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
LU,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
LV,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
LX,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
LZ,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
NA,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
NB,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
NC,LARVIK,VESTFOLD OG TELEMARK,GEOGRAFISK
NV,NOTODDEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NX,NOTODDEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NY,NOTODDEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NZ,NOTODDEN,VESTFOLD OG TELEMARK,GEOGRAFISK
PA,RJUKAN,VESTFOLD OG TELEMARK,GEOGRAFISK
PB,RJUKAN,VESTFOLD OG TELEMARK,GEOGRAFISK
LY,SANDEFJORD,VESTFOLD OG TELEMARK,GEOGRAFISK
NA,SANDEFJORD,VESTFOLD OG TELEMARK,GEOGRAFISK
ND,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NE,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NF,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NH,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NJ,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NK,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NL,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NN,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NP,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NR,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NT,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
NU,SKIEN,VESTFOLD OG TELEMARK,GEOGRAFISK
LH,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LJ,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LK,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LL,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LN,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LP,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LR,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
LD,TØNSBERG,VESTFOLD OG TELEMARK,GEOGRAFISK
PC,ARENDAL,AGDER,GEOGRAFISK
PD,ARENDAL,AGDER,GEOGRAFISK
PE,ARENDAL,AGDER,GEOGRAFISK
PF,ARENDAL,AGDER,GEOGRAFISK
PH,ARENDAL,AGDER,GEOGRAFISK
PJ,ARENDAL,AGDER,GEOGRAFISK
PK,ARENDAL,AGDER,GEOGRAFISK
RA,FLEKKEFJORD,AGDER,GEOGRAFISK
RB,FLEKKEFJORD,AGDER,GEOGRAFISK
PN,KRISTIANSAND,AGDER,GEOGRAFISK
PP,KRISTIANSAND,AGDER,GEOGRAFISK
PR,KRISTIANSAND,AGDER,GEOGRAFISK
PS,KRISTIANSAND,AGDER,GEOGRAFISK
PT,KRISTIANSAND,AGDER,GEOGRAFISK
PU,KRISTIANSAND,AGDER,GEOGRAFISK
PV,KRISTIANSAND,AGDER,GEOGRAFISK
PW,KRISTIANSAND,AGDER,GEOGRAFISK
PX,MANDAL,AGDER,GEOGRAFISK
PY,MANDAL,AGDER,GEOGRAFISK
PZ,MANDAL,AGDER,GEOGRAFISK
RC,MANDAL,AGDER,GEOGRAFISK
RD,MANDAL,AGDER,GEOGRAFISK
PL,SETESDAL,AGDER,GEOGRAFISK
LF,SETESDAL,AGDER,GEOGRAFISK
RZ,EGERSUND,ROGALAND,GEOGRAFISK
SA,EGERSUND,ROGALAND,GEOGRAFISK
SB,EGERSUND,ROGALAND,GEOGRAFISK
SC,HAUGESUND,ROGALAND,GEOGRAFISK
SD,HAUGESUND,ROGALAND,GEOGRAFISK
SE,HAUGESUND,ROGALAND,GEOGRAFISK
SF,HAUGESUND,ROGALAND,GEOGRAFISK
SH,HAUGESUND,ROGALAND,GEOGRAFISK
SJ,HAUGESUND,ROGALAND,GEOGRAFISK
SK,HAUGESUND,ROGALAND,GEOGRAFISK
SL,HAUGESUND,ROGALAND,GEOGRAFISK
RE,STAVANGER,ROGALAND,GEOGRAFISK
RF,STAVANGER,ROGALAND,GEOGRAFISK
RH,STAVANGER,ROGALAND,GEOGRAFISK
RJ,STAVANGER,ROGALAND,GEOGRAFISK
RK,STAVANGER,ROGALAND,GEOGRAFISK
RL,STAVANGER,ROGALAND,GEOGRAFISK
RN,STAVANGER,ROGALAND,GEOGRAFISK
RP,STAVANGER,ROGALAND,GEOGRAFISK
RR,STAVANGER,ROGALAND,GEOGRAFISK
RS,STAVANGER,ROGALAND,GEOGRAFISK
RT,STAVANGER,ROGALAND,GEOGRAFISK
RU,STAVANGER,ROGALAND,GEOGRAFISK
RV,STAVANGER,ROGALAND,GEOGRAFISK
RX,STAVANGER,ROGALAND,GEOGRAFISK
RY,STAVANGER,ROGALAND,GEOGRAFISK
RW,STAVANGER,ROGALAND,GEOGRAFISK
SN,BERGEN,VESTLAND,GEOGRAFISK
SP,BERGEN,VESTLAND,GEOGRAFISK
SR,BERGEN,VESTLAND,GEOGRAFISK
SS,BERGEN,VESTLAND,GEOGRAFISK
ST,BERGEN,VESTLAND,GEOGRAFISK
SU,BERGEN,VESTLAND,GEOGRAFISK
SV,BERGEN,VESTLAND,GEOGRAFISK
SX,BERGEN,VESTLAND,GEOGRAFISK
SY,BERGEN,VESTLAND,GEOGRAFISK
SZ,BERGEN,VESTLAND,GEOGRAFISK
TA,BERGEN,VESTLAND,GEOGRAFISK
TB,BERGEN,VESTLAND,GEOGRAFISK
TC,BERGEN,VESTLAND,GEOGRAFISK
TD,BERGEN,VESTLAND,GEOGRAFISK
TE,BERGEN,VESTLAND,GEOGRAFISK
HW,BERGEN,VESTLAND,GEOGRAFISK
TV,FØRDE,VESTLAND,GEOGRAFISK
TX,FØRDE,VESTLAND,GEOGRAFISK
TY,FØRDE,VESTLAND,GEOGRAFISK
TZ,FØRDE,VESTLAND,GEOGRAFISK
UA,NORDFJORDEID,VESTLAND,GEOGRAFISK
UB,NORDFJORDEID,VESTLAND,GEOGRAFISK
TS,ODDA,VESTLAND,GEOGRAFISK
TT,ODDA,VESTLAND,GEOGRAFISK
TU,ODDA,VESTLAND,GEOGRAFISK
UC,SOGNDAL,VESTLAND,GEOGRAFISK
UD,SOGNDAL,VESTLAND,GEOGRAFISK
TL,STORD,VESTLAND,GEOGRAFISK
TN,STORD,VESTLAND,GEOGRAFISK
TP,STORD,VESTLAND,GEOGRAFISK
TR,STORD,VESTLAND,GEOGRAFISK
TF,VOSS,VESTLAND,GEOGRAFISK
TH,VOSS,VESTLAND,GEOGRAFISK
TJ,VOSS,VESTLAND,GEOGRAFISK
TK,VOSS,VESTLAND,GEOGRAFISK
UX,KRISTIANSUND,MØRE OG ROMSDAL,GEOGRAFISK
UY,KRISTIANSUND,MØRE OG ROMSDAL,GEOGRAFISK
UZ,KRISTIANSUND,MØRE OG ROMSDAL,GEOGRAFISK
VA,KRISTIANSUND,MØRE OG ROMSDAL,GEOGRAFISK
UR,MOLDE,MØRE OG ROMSDAL,GEOGRAFISK
US,MOLDE,MØRE OG ROMSDAL,GEOGRAFISK
UT,MOLDE,MØRE OG ROMSDAL,GEOGRAFISK
UU,MOLDE,MØRE OG ROMSDAL,GEOGRAFISK
UV,MOLDE,MØRE OG ROMSDAL,GEOGRAFISK
VB,SUNNDALSØRA,MØRE OG ROMSDAL,GEOGRAFISK
VC,SUNNDALSØRA,MØRE OG ROMSDAL,GEOGRAFISK
UN,ØRSTA,MØRE OG ROMSDAL,GEOGRAFISK
UP,ØRSTA,MØRE OG ROMSDAL,GEOGRAFISK
BB,ØRSTA,MØRE OG ROMSDAL,GEOGRAFISK
UE,ÅLESUND,MØRE OG ROMSDAL,GEOGRAFISK
UF,ÅLESUND,MØRE OG ROMSDAL,GEOGRAFISK
UH,ÅLESUND,MØRE OG ROMSDAL,GEOGRAFISK
UJ,ÅLESUND,MØRE OG ROMSDAL,GEOGRAFISK
